game_info,date,time,pitcher_type,pitcher_name,era,whip
New York Mets @ Pittsburgh Pirates,"Sunday, July 7th 2024",1:35 PM ET | PNC Park,away,,,
Chicago White Sox @ Miami Marlins,"Sunday, July 7th 2024",1:40 PM ET | loanDepot park,away,,,
Detroit Tigers @ Cincinnati Reds,"Sunday, July 7th 2024",1:40 PM ET | Great American Ball Park,away,,,
St. Louis Cardinals @ Washington Nationals,"Sunday, July 7th 2024",1:35 PM ET | Nationals Park,away,,,
New York Mets @ Pittsburgh Pirates,"Sunday, July 7th 2024",1:35 PM ET | PNC Park,home,,,
Chicago White Sox @ Miami Marlins,"Sunday, July 7th 2024",1:40 PM ET | loanDepot park,home,,,
Philadelphia Phillies @ Atlanta Braves,"Sunday, July 7th 2024",1:35 PM ET | Truist Park,away,,,
St. Louis Cardinals @ Washington Nationals,"Sunday, July 7th 2024",1:35 PM ET | Nationals Park,home,,,
Philadelphia Phillies @ Atlanta Braves,"Sunday, July 7th 2024",1:35 PM ET | Truist Park,home,,,
San Francisco Giants @ Cleveland Guardians,"Sunday, July 7th 2024",1:40 PM ET | Progressive Field,home,,,
Detroit Tigers @ Cincinnati Reds,"Sunday, July 7th 2024",1:40 PM ET | Great American Ball Park,home,,,
Tampa Bay Rays @ Texas Rangers,"Sunday, July 7th 2024",2:35 PM ET | Globe Life Field,home,,,
San Francisco Giants @ Cleveland Guardians,"Sunday, July 7th 2024",1:40 PM ET | Progressive Field,away,,,
Tampa Bay Rays @ Texas Rangers,"Sunday, July 7th 2024",2:35 PM ET | Globe Life Field,away,,,
Los Angeles Angels @ Chicago Cubs,"Sunday, July 7th 2024",2:20 PM ET | Wrigley Field,away,,,
Boston Red Sox @ New York Yankees,"Sunday, July 7th 2024",7:10 PM ET | Yankee Stadium,away,,,
Toronto Blue Jays @ Seattle Mariners,"Sunday, July 7th 2024",4:10 PM ET | T-Mobile Park,home,,,
Los Angeles Angels @ Chicago Cubs,"Sunday, July 7th 2024",2:20 PM ET | Wrigley Field,home,,,
Toronto Blue Jays @ Seattle Mariners,"Sunday, July 7th 2024",4:10 PM ET | T-Mobile Park,away,,,
Boston Red Sox @ New York Yankees,"Sunday, July 7th 2024",7:10 PM ET | Yankee Stadium,home,,,
Arizona Diamondbacks @ San Diego Padres,"Sunday, July 7th 2024",4:10 PM ET | Petco Park,home,,,
Baltimore Orioles @ Oakland Athletics,"Sunday, July 7th 2024",4:07 PM ET | Oakland Coliseum,away,,,
Kansas City Royals @ Colorado Rockies,"Sunday, July 7th 2024",3:10 PM ET | Coors Field,away,,,
Baltimore Orioles @ Oakland Athletics,"Sunday, July 7th 2024",4:07 PM ET | Oakland Coliseum,home,,,
Houston Astros @ Minnesota Twins,"Sunday, July 7th 2024",2:10 PM ET | Target Field,home,,,
Houston Astros @ Minnesota Twins,"Sunday, July 7th 2024",2:10 PM ET | Target Field,away,,,
Kansas City Royals @ Colorado Rockies,"Sunday, July 7th 2024",3:10 PM ET | Coors Field,home,,,
Arizona Diamondbacks @ San Diego Padres,"Sunday, July 7th 2024",4:10 PM ET | Petco Park,away,,,
